system,rank,pairs,CP_phi2,X13,g23,v3,p4,p5
PM6_CF,1,60,0.664,0.95,0.32,100000,-0.15,0.45
PM6_CF,2,60,0.664,0.95,0.32,100000,-0.18,0.45
PM6_CF,3,60,0.688,1.0,0.32,100000,-0.12,0.4
PM6_CF,4,60,0.683,1.0,0.32,100000,-0.12,0.45
PM6_CF,5,60,0.678,1.0,0.32,100000,-0.12,0.5
PM6_CF,6,59,0.406,0.9,0.18,100000,-0.12,0.4
PM6_CF,7,59,0.402,0.9,0.18,100000,-0.12,0.45
PM6_CF,8,59,0.395,0.9,0.18,100000,-0.15,0.55
PM6_CF,9,59,0.432,0.95,0.18,100000,-0.12,0.55
PM6_CF,10,59,0.441,0.95,0.18,100000,-0.15,0.4
D18_CF,1,60,0.768,1.0,0.38,60000,-0.12,0.4
D18_CF,2,60,0.764,1.0,0.38,60000,-0.12,0.45
D18_CF,3,60,0.760,1.0,0.38,60000,-0.12,0.5
D18_CF,4,60,0.756,1.0,0.38,60000,-0.12,0.55
D18_CF,5,60,0.768,1.0,0.38,60000,-0.15,0.4
D18_CF,6,60,0.764,1.0,0.38,60000,-0.15,0.45
D18_CF,7,60,0.760,1.0,0.38,60000,-0.15,0.5
D18_CF,8,60,0.756,1.0,0.38,60000,-0.15,0.55
D18_CF,9,59,0.768,1.0,0.38,60000,-0.18,0.4
D18_CF,10,59,0.764,1.0,0.38,60000,-0.18,0.45
